"","det_id","perp_id","det_start","det_end","det_start_year","det_end_year","det_vulnerable_population","det_age_range","det_gender","det_status","det_violation","det_related_penal_facilities","det_province_penal_facility","det_penal_facility_affiliation","det_type_of_penal_facility","det_event","detainee_number","perp_nationality","perp_organisational_affiliation","perp_age_range","perp_rank","perp_related_penal_facility","perp_affiliated_province","perp_type_of_penal_facility","det_vulnerable_population_bi","det_violation_cl","Deprivation of Liberty","Sexual Violence","Torture","Freedom of Expression","Health","Fair Trial","Conscience and Religion","Forced Labor","Children","Life","Disability"
"11","det-A2553","perp-A2564","01/01/2011","31/03/2011",2011,2011,"Women","40-49","Female","Released from all facilities","Arbitrary Deprivation of Liberty_1_A2553|Violation of the Right to a Fair Trial_1_A2553|Torture & CID_1_A2553|Sexual and Gender-based Violence_1_A2553|Violation of Right to Health_1_A2553|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A2553|Violation of Freedom of Expression_1_A2553","Ryanggang Provincial MSS Holding Centre|Ryanggang Provincial MPS Holding Centre|Kimjongsuk (Sinpa) County MPS Detention Centre|Kaechon Re-education Camp","Ryanggang|Ryanggang|Ryanggang|South Pyongan","Ministry of State Security|Ministry of People's Security|Ministry of People's Security|Ministry of People's Security","Holding Centre|Holding Centre|Detention Centre|Re-education Camp",1,2,"North Korean","Ministry of People’s Security","20-29","Master Sergeant (sangsa)","Kimjongsuk (Sinpa) County MPS Detention Centre","Ryanggang","Detention Centre",1,"Arbitrary Deprivation of Liberty|Violation of the Right to a Fair Trial|Torture & CID|Sexual and Gender-based Violence|Violation of Right to Health|Violation of the Right to Freedom of Conscience, Thought and Religion|Violation of Freedom of Expression",1,1,1,1,1,1,1,0,0,0,0
"12","det-A2553","perp-A2563","01/01/2011","31/03/2011",2011,2011,"Women","40-49","Female","Released from all facilities","Arbitrary Deprivation of Liberty_1_A2553|Violation of the Right to a Fair Trial_1_A2553|Torture & CID_1_A2553|Sexual and Gender-based Violence_1_A2553|Violation of Right to Health_1_A2553|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A2553|Violation of Freedom of Expression_1_A2553","Ryanggang Provincial MSS Holding Centre|Ryanggang Provincial MPS Holding Centre|Kimjongsuk (Sinpa) County MPS Detention Centre|Kaechon Re-education Camp","Ryanggang|Ryanggang|Ryanggang|South Pyongan","Ministry of State Security|Ministry of People's Security|Ministry of People's Security|Ministry of People's Security","Holding Centre|Holding Centre|Detention Centre|Re-education Camp",1,1,"North Korean","Ministry of People’s Security","50-59","Major (sojwa)","Kimjongsuk (Sinpa) County MPS Detention Centre","Ryanggang","Detention Centre",1,"Arbitrary Deprivation of Liberty|Violation of the Right to a Fair Trial|Torture & CID|Sexual and Gender-based Violence|Violation of Right to Health|Violation of the Right to Freedom of Conscience, Thought and Religion|Violation of Freedom of Expression",1,1,1,1,1,1,1,0,0,0,0
"13","det-A2553","perp-A2562","01/01/2011","31/03/2011",2011,2011,"Women","40-49","Female","Released from all facilities","Arbitrary Deprivation of Liberty_1_A2553|Violation of the Right to a Fair Trial_1_A2553|Torture & CID_1_A2553|Sexual and Gender-based Violence_1_A2553|Violation of Right to Health_1_A2553|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A2553|Violation of Freedom of Expression_1_A2553","Ryanggang Provincial MSS Holding Centre|Ryanggang Provincial MPS Holding Centre|Kimjongsuk (Sinpa) County MPS Detention Centre|Kaechon Re-education Camp","Ryanggang|Ryanggang|Ryanggang|South Pyongan","Ministry of State Security|Ministry of People's Security|Ministry of People's Security|Ministry of People's Security","Holding Centre|Holding Centre|Detention Centre|Re-education Camp",1,1,"North Korean","Ministry of People’s Security","50-59","Major (sojwa)","Kimjongsuk (Sinpa) County MPS Detention Centre","Ryanggang","Detention Centre",1,"Arbitrary Deprivation of Liberty|Violation of the Right to a Fair Trial|Torture & CID|Sexual and Gender-based Violence|Violation of Right to Health|Violation of the Right to Freedom of Conscience, Thought and Religion|Violation of Freedom of Expression",1,1,1,1,1,1,1,0,0,0,0
"14","det-A2553","perp-A2561","01/01/2011","31/03/2011",2011,2011,"Women","40-49","Female","Released from all facilities","Arbitrary Deprivation of Liberty_1_A2553|Violation of the Right to a Fair Trial_1_A2553|Torture & CID_1_A2553|Sexual and Gender-based Violence_1_A2553|Violation of Right to Health_1_A2553|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A2553|Violation of Freedom of Expression_1_A2553","Ryanggang Provincial MSS Holding Centre|Ryanggang Provincial MPS Holding Centre|Kimjongsuk (Sinpa) County MPS Detention Centre|Kaechon Re-education Camp","Ryanggang|Ryanggang|Ryanggang|South Pyongan","Ministry of State Security|Ministry of People's Security|Ministry of People's Security|Ministry of People's Security","Holding Centre|Holding Centre|Detention Centre|Re-education Camp",1,1,"North Korean","Ministry of State Security","30-39","Captain (taewi)","Ryanggang Provincial MSS Holding Centre","Ryanggang","Holding Centre",1,"Arbitrary Deprivation of Liberty|Violation of the Right to a Fair Trial|Torture & CID|Sexual and Gender-based Violence|Violation of Right to Health|Violation of the Right to Freedom of Conscience, Thought and Religion|Violation of Freedom of Expression",1,1,1,1,1,1,1,0,0,0,0
"15","det-A2553","perp-A2560","01/01/2011","31/03/2011",2011,2011,"Women","40-49","Female","Released from all facilities","Arbitrary Deprivation of Liberty_1_A2553|Violation of the Right to a Fair Trial_1_A2553|Torture & CID_1_A2553|Sexual and Gender-based Violence_1_A2553|Violation of Right to Health_1_A2553|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A2553|Violation of Freedom of Expression_1_A2553","Ryanggang Provincial MSS Holding Centre|Ryanggang Provincial MPS Holding Centre|Kimjongsuk (Sinpa) County MPS Detention Centre|Kaechon Re-education Camp","Ryanggang|Ryanggang|Ryanggang|South Pyongan","Ministry of State Security|Ministry of People's Security|Ministry of People's Security|Ministry of People's Security","Holding Centre|Holding Centre|Detention Centre|Re-education Camp",1,1,"North Korean","Ministry of State Security","50-59","Lieutenant Colonel (jungjwa)","Ryanggang Provincial MSS Holding Centre","Ryanggang","Holding Centre",1,"Arbitrary Deprivation of Liberty|Violation of the Right to a Fair Trial|Torture & CID|Sexual and Gender-based Violence|Violation of Right to Health|Violation of the Right to Freedom of Conscience, Thought and Religion|Violation of Freedom of Expression",1,1,1,1,1,1,1,0,0,0,0
"16","det-A2553","perp-A2558","01/01/2011","31/03/2011",2011,2011,"Women","40-49","Female","Released from all facilities","Arbitrary Deprivation of Liberty_1_A2553|Violation of the Right to a Fair Trial_1_A2553|Torture & CID_1_A2553|Sexual and Gender-based Violence_1_A2553|Violation of Right to Health_1_A2553|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A2553|Violation of Freedom of Expression_1_A2553","Ryanggang Provincial MSS Holding Centre|Ryanggang Provincial MPS Holding Centre|Kimjongsuk (Sinpa) County MPS Detention Centre|Kaechon Re-education Camp","Ryanggang|Ryanggang|Ryanggang|South Pyongan","Ministry of State Security|Ministry of People's Security|Ministry of People's Security|Ministry of People's Security","Holding Centre|Holding Centre|Detention Centre|Re-education Camp",1,1,"North Korean","Ministry of State Security","30-39","Captain (taewi)","Ryanggang Provincial MSS Holding Centre","Ryanggang","Holding Centre",1,"Arbitrary Deprivation of Liberty|Violation of the Right to a Fair Trial|Torture & CID|Sexual and Gender-based Violence|Violation of Right to Health|Violation of the Right to Freedom of Conscience, Thought and Religion|Violation of Freedom of Expression",1,1,1,1,1,1,1,0,0,0,0
"17","det-A2733","perp-A2738","01/06/2002","31/10/2002",2002,2002,"Women","40-49","Female","Released from all facilities","Arbitrary Deprivation of Liberty_1_A2733|Violation of the Right to a Fair Trial_1_A2733|Torture & CID_1_A2733|Torture & CID_2_A2733|Torture & CID_3_A2733|Torture & CID_4_A2733|Sexual and Gender-based Violence_1_A2733|Sexual and Gender-based Violence_2_A2733|Violation of Right to Health_1_A2733|Violation of Right to Health_2_A2733|Violation of Right to Health_3_A2733|Violation of Right to Health_4_A2733|Forced Labour_1_A2733|Violation of Freedom of Expression_A2733","Musan County MSS Detention Centre|Musan County MPS Detention Centre|Musan County Musan-up MPS Sub-municipal Station Office|Musan County Labour Training Centre|Hoeryong City MSS Detention Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)|Hoeryong City Rural Construction Unit Facility (Nonggundae)","North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|Ministry of People's Security|Ministry of People's Security|People's Committee of North Korea|Ministry of State Security|Ministry of People's Security|Ministry of People's Security","Detention Centre|Detention Centre|Temporary Detention Facility::Office|Labour Training Centre|Detention Centre|Holding Centre|Temporary Detention Facility::Other",1,1,"North Korean","Ministry of People’s Security","Unknown","Lieutenant (jungwi)","North Hamgyong Provincial MPS Holding Centre (Nongpo)","North Hamgyong","Holding Centre",1,"Arbitrary Deprivation of Liberty|Violation of the Right to a Fair Trial|Torture & CID|Torture & CID|Torture & CID|Torture & CID|Sexual and Gender-based Violence|Sexual and Gender-based Violence|Violation of Right to Health|Violation of Right to Health|Violation of Right to Health|Violation of Right to Health|Forced Labour|Violation of Freedom of Expression",1,1,1,1,1,1,0,1,0,0,0
"18","det-A2733","perp-A2737","01/06/2002","31/10/2002",2002,2002,"Women","40-49","Female","Released from all facilities","Arbitrary Deprivation of Liberty_1_A2733|Violation of the Right to a Fair Trial_1_A2733|Torture & CID_1_A2733|Torture & CID_2_A2733|Torture & CID_3_A2733|Torture & CID_4_A2733|Sexual and Gender-based Violence_1_A2733|Sexual and Gender-based Violence_2_A2733|Violation of Right to Health_1_A2733|Violation of Right to Health_2_A2733|Violation of Right to Health_3_A2733|Violation of Right to Health_4_A2733|Forced Labour_1_A2733|Violation of Freedom of Expression_A2733","Musan County MSS Detention Centre|Musan County MPS Detention Centre|Musan County Musan-up MPS Sub-municipal Station Office|Musan County Labour Training Centre|Hoeryong City MSS Detention Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)|Hoeryong City Rural Construction Unit Facility (Nonggundae)","North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|Ministry of People's Security|Ministry of People's Security|People's Committee of North Korea|Ministry of State Security|Ministry of People's Security|Ministry of People's Security","Detention Centre|Detention Centre|Temporary Detention Facility::Office|Labour Training Centre|Detention Centre|Holding Centre|Temporary Detention Facility::Other",1,1,"North Korean","Ministry of People’s Security","30-39","Unknown","Musan County Labour Training Centre","North Hamgyong","Labour Training Centre",1,"Arbitrary Deprivation of Liberty|Violation of the Right to a Fair Trial|Torture & CID|Torture & CID|Torture & CID|Torture & CID|Sexual and Gender-based Violence|Sexual and Gender-based Violence|Violation of Right to Health|Violation of Right to Health|Violation of Right to Health|Violation of Right to Health|Forced Labour|Violation of Freedom of Expression",1,1,1,1,1,1,0,1,0,0,0
"19","det-A2733","perp-A2736","01/06/2002","31/10/2002",2002,2002,"Women","40-49","Female","Released from all facilities","Arbitrary Deprivation of Liberty_1_A2733|Violation of the Right to a Fair Trial_1_A2733|Torture & CID_1_A2733|Torture & CID_2_A2733|Torture & CID_3_A2733|Torture & CID_4_A2733|Sexual and Gender-based Violence_1_A2733|Sexual and Gender-based Violence_2_A2733|Violation of Right to Health_1_A2733|Violation of Right to Health_2_A2733|Violation of Right to Health_3_A2733|Violation of Right to Health_4_A2733|Forced Labour_1_A2733|Violation of Freedom of Expression_A2733","Musan County MSS Detention Centre|Musan County MPS Detention Centre|Musan County Musan-up MPS Sub-municipal Station Office|Musan County Labour Training Centre|Hoeryong City MSS Detention Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)|Hoeryong City Rural Construction Unit Facility (Nonggundae)","North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|Ministry of People's Security|Ministry of People's Security|People's Committee of North Korea|Ministry of State Security|Ministry of People's Security|Ministry of People's Security","Detention Centre|Detention Centre|Temporary Detention Facility::Office|Labour Training Centre|Detention Centre|Holding Centre|Temporary Detention Facility::Other",1,1,"North Korean","Unknown","60-69","Unknown","Musan County Labour Training Centre","North Hamgyong","Labour Training Centre",1,"Arbitrary Deprivation of Liberty|Violation of the Right to a Fair Trial|Torture & CID|Torture & CID|Torture & CID|Torture & CID|Sexual and Gender-based Violence|Sexual and Gender-based Violence|Violation of Right to Health|Violation of Right to Health|Violation of Right to Health|Violation of Right to Health|Forced Labour|Violation of Freedom of Expression",1,1,1,1,1,1,0,1,0,0,0
"20","det-A2733","perp-A2735","01/06/2002","31/10/2002",2002,2002,"Women","40-49","Female","Released from all facilities","Arbitrary Deprivation of Liberty_1_A2733|Violation of the Right to a Fair Trial_1_A2733|Torture & CID_1_A2733|Torture & CID_2_A2733|Torture & CID_3_A2733|Torture & CID_4_A2733|Sexual and Gender-based Violence_1_A2733|Sexual and Gender-based Violence_2_A2733|Violation of Right to Health_1_A2733|Violation of Right to Health_2_A2733|Violation of Right to Health_3_A2733|Violation of Right to Health_4_A2733|Forced Labour_1_A2733|Violation of Freedom of Expression_A2733","Musan County MSS Detention Centre|Musan County MPS Detention Centre|Musan County Musan-up MPS Sub-municipal Station Office|Musan County Labour Training Centre|Hoeryong City MSS Detention Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)|Hoeryong City Rural Construction Unit Facility (Nonggundae)","North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|Ministry of People's Security|Ministry of People's Security|People's Committee of North Korea|Ministry of State Security|Ministry of People's Security|Ministry of People's Security","Detention Centre|Detention Centre|Temporary Detention Facility::Office|Labour Training Centre|Detention Centre|Holding Centre|Temporary Detention Facility::Other",1,1,"North Korean","Ministry of State Security","20-29","Unknown","Musan County MSS Detention Centre","North Hamgyong","Detention Centre",1,"Arbitrary Deprivation of Liberty|Violation of the Right to a Fair Trial|Torture & CID|Torture & CID|Torture & CID|Torture & CID|Sexual and Gender-based Violence|Sexual and Gender-based Violence|Violation of Right to Health|Violation of Right to Health|Violation of Right to Health|Violation of Right to Health|Forced Labour|Violation of Freedom of Expression",1,1,1,1,1,1,0,1,0,0,0
"21","det-A2573","perp-A2577","01/01/2004","30/04/2004",2004,2004,"Women|Detainees with Disabilities","20-29","Female","Released from all facilities","Arbitrary Deprivation of Liberty_1_A2573|Sexual and Gender-based Violence_1_A2573|Sexual and Gender-based Violence_2_A2573|Torture & CID_1_A2573|Violation of Freedom of Expression_1_A2573|Violation of Freedom of Expression_2_A2573|Violation of the Rights of Detainees with Disability_1_A2573","Hyesan City Hospital|Sinuiju City MSS Detention Centre|North Pyongan Provincial MPS Holding Centre |Hoeryong City MSS Detention Centre|Rawon County Samho-gu MSS Office","Ryanggang|North Pyongan|North Pyongan|North Hamgyong|North Hamgyong","Other North Korean government organisation|Ministry of State Security|Ministry of People's Security|Ministry of State Security|Ministry of State Security","Temporary Detention Facility::Other|Detention Centre|Holding Centre|Detention Centre|Temporary Detention Facility::Office",1,1,"North Korean","Ministry of People’s Security","50-59","Unknown","Rawon County Samho-gu MSS Office","North Hamgyong","Temporary Detention Facility::Office",1,"Arbitrary Deprivation of Liberty|Sexual and Gender-based Violence|Sexual and Gender-based Violence|Torture & CID|Violation of Freedom of Expression|Violation of Freedom of Expression|Violation of the Rights of Detainees with Disability",1,1,1,1,0,0,0,0,0,0,1
"22","det-A2573","perp-A2576","01/01/2004","30/04/2004",2004,2004,"Women|Detainees with Disabilities","20-29","Female","Released from all facilities","Arbitrary Deprivation of Liberty_1_A2573|Sexual and Gender-based Violence_1_A2573|Sexual and Gender-based Violence_2_A2573|Torture & CID_1_A2573|Violation of Freedom of Expression_1_A2573|Violation of Freedom of Expression_2_A2573|Violation of the Rights of Detainees with Disability_1_A2573","Hyesan City Hospital|Sinuiju City MSS Detention Centre|North Pyongan Provincial MPS Holding Centre |Hoeryong City MSS Detention Centre|Rawon County Samho-gu MSS Office","Ryanggang|North Pyongan|North Pyongan|North Hamgyong|North Hamgyong","Other North Korean government organisation|Ministry of State Security|Ministry of People's Security|Ministry of State Security|Ministry of State Security","Temporary Detention Facility::Other|Detention Centre|Holding Centre|Detention Centre|Temporary Detention Facility::Office",1,1,"North Korean","Ministry of State Security","30-39","Lieutenant Colonel (jungjwa)","Rawon County Samho-gu MSS Office","North Hamgyong","Temporary Detention Facility::Office",1,"Arbitrary Deprivation of Liberty|Sexual and Gender-based Violence|Sexual and Gender-based Violence|Torture & CID|Violation of Freedom of Expression|Violation of Freedom of Expression|Violation of the Rights of Detainees with Disability",1,1,1,1,0,0,0,0,0,0,1
