Title,Date added,Template,Vulnerable Population?,Age Range,Named Detainee,Gender,Status,Event 1 Date Range,Event 1 Violations,Event 2 Date Range,Event 2 Violations,Event 3 Date Range,Event 3 Violation,Related Penal Facilities,Province Where the Penal Facility is Located,Penal Facility Affiliation,Related Type of Penal Facility,Documents,Attachments,Published
A2603,26/03/2024,Detainees,N/A,20-29,Named,Male,Death in custody,01/08/2017~31/08/2017,"Arbitrary Deprivation of Liberty_A2603|Violation of the Right to Life_A2603|Torture & CID_A2603",,,,,Samjiyon County Potae-ri MSS Office,Ryanggang,Ministry of State Security,Temporary Detention Facility::Office,,,Published
A2602,26/03/2024,Detainees,Women,60-69,Named,Female,Released from all facilities,01/08/2017~31/08/2017,"Arbitrary Deprivation of Liberty_A2602|Violation of the Right to a Fair Trial_A2602|Torture & CID_A2602|Violation of Right to Health_A2602",,,,,Samjiyon County Potae-ri MSS Office,Ryanggang,Ministry of State Security,Temporary Detention Facility::Office,,,Published
A2557,25/03/2024,Detainees,Women,40-49,Unnamed,Female,Deceased,01/09/2014~28/02/2015,"Violation of the Right to Freedom of Conscience, Thought and Religion_A2557|Forced Labour_A2557|Violation of the Right to Life_A2557|Torture & CID_A2557|Violation of Freedom of Expression_A2557|Violation of Right to Health_A2557",,,,,Kaechon Re-education Camp,South Pyongan,Ministry of People's Security,Re-education Camp ,,,Published
A2556,25/03/2024,Detainees,"Women|Pregnant Women",20-29,Named,Female,Unknown,01/04/2014~30/09/2014,"Sexual and Gender-based Violence_A2556|Torture & CID_A2556|Violation of Freedom of Expression_A2556|Violation of Right to Health_A2556",,,,,Kimjongsuk (Sinpa) County MPS Detention Centre,Ryanggang,Ministry of People's Security,Detention Centre,,,Published
A2555,25/03/2024,Detainees,Women,30-39,Named,Female,Unknown,01/04/2014~30/09/2014,"Sexual and Gender-based Violence_A2555|Torture & CID_A2555|Violation of Freedom of Expression_A2555|Violation of Right to Health_A2555",,,,,Kimjongsuk (Sinpa) County MPS Detention Centre,Ryanggang,Ministry of People's Security,Detention Centre,,,Published
A2554,25/03/2024,Detainees,"Women|Children",10-19,Moniker,Female,Unknown,01/04/2014~30/04/2014,"Forced Labour_A2554|Torture & CID_A2554|Violation of Freedom of Expression_A2554|Violation of the Rights of Children_A2554|Violation of Right to Health_A2554",,,,,Ryanggang Provincial MPS Holding Centre,Ryanggang,Ministry of People's Security,Holding Centre,,,Published
A2553,25/03/2024,Detainees,Women,40-49,Named,Female,Released from all facilities,01/01/2011~31/03/2011,"Arbitrary Deprivation of Liberty_1_A2553|Violation of the Right to a Fair Trial_1_A2553|Torture & CID_1_A2553|Sexual and Gender-based Violence_1_A2553|Violation of Right to Health_1_A2553|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A2553|Violation of Freedom of Expression_1_A2553",01/02/2014~31/05/2015,"Arbitrary Deprivation of Liberty_2_A2553|Violation of the Right to a Fair Trial_2_A2553|Torture & CID_2_A2553|Torture & CID_3_A2553|Torture & CID_4_A2553|Torture & CID_5_A2553|Sexual and Gender-based Violence_2_A2553|Sexual and Gender-based Violence_3_A2553|Sexual and Gender-based Violence_4_A2553|Violation of Right to Health_2_A2553|Violation of Right to Health_3_A2553|Violation of Right to Health_4_A2553|Violation of Right to Health_5_A2553|Forced Labour_1_A2553|Forced Labour_2_A2553|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A2553|Violation of the Right to Freedom of Conscience, Thought and Religion_3_A2553|Violation of Freedom of Expression_2_A2553|Violation of Freedom of Expression_3_A2553|Violation of Freedom of Expression_4_A2553|Violation of Freedom of Expression_5_A2553",,,"Ryanggang Provincial MSS Holding Centre|Ryanggang Provincial MPS Holding Centre|Kimjongsuk (Sinpa) County MPS Detention Centre|Kaechon Re-education Camp","Ryanggang|Ryanggang|Ryanggang|South Pyongan","Ministry of State Security|Ministry of People's Security|Ministry of People's Security|Ministry of People's Security","Holding Centre|Holding Centre|Detention Centre|Re-education Camp ",,,Published
A2734,22/03/2024,Detainees,Women,40-49,Unnamed,Female,Unknown,01/08/2004~31/08/2004,"Arbitrary Deprivation of Liberty_A2734|Violation of the Right to Freedom of Conscience, Thought and Religion_A2734|Violation of the Right to a Fair Trial_A2734",,,,,Hoeryong City MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A2733,22/03/2024,Detainees,Women,40-49,Named,Female,Released from all facilities,01/06/2002~31/10/2002,"Arbitrary Deprivation of Liberty_1_A2733|Violation of the Right to a Fair Trial_1_A2733|Torture & CID_1_A2733|Torture & CID_2_A2733|Torture & CID_3_A2733|Torture & CID_4_A2733|Sexual and Gender-based Violence_1_A2733|Sexual and Gender-based Violence_2_A2733|Violation of Right to Health_1_A2733|Violation of Right to Health_2_A2733|Violation of Right to Health_3_A2733|Violation of Right to Health_4_A2733|Forced Labour_1_A2733|Violation of Freedom of Expression_A2733",01/08/2004~31/01/2005,"Arbitrary Deprivation of Liberty_2_A2733|Violation of the Right to a Fair Trial_2_A2733|Torture & CID_5_A2733|Torture & CID_6_A2733|Torture & CID_7_A2733|Sexual and Gender-based Violence_3_A2733|Sexual and Gender-based Violence_4_A2733|Violation of Right to Health_5_A2733|Violation of Right to Health_6_A2733|Violation of Right to Health_7_A2733|Forced Labour_2_A2733|Forced Labour_3_A2733",,,"Musan County MSS Detention Centre|Musan County MPS Detention Centre|Musan County Musan-up MPS Sub-municipal Station Office|Musan County Labour Training Centre|Hoeryong City MSS Detention Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)|Hoeryong City Rural Construction Unit Facility (Nonggundae) ","North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|Ministry of People's Security|Ministry of People's Security|People's Committee of North Korea|Ministry of State Security|Ministry of People's Security|Ministry of People's Security","Detention Centre|Detention Centre|Temporary Detention Facility::Office|Labour Training Centre|Detention Centre|Holding Centre|Temporary Detention Facility::Other",,,Published
A2726,22/03/2024,Detainees,N/A,Unknown,Named,Male,Death in custody,01/04/2004~30/04/2004,"Arbitrary Deprivation of Liberty_A2726|Torture & CID_A2726|Violation of Right to Health_A2726|Violation of the Right to a Fair Trial_A2726",,,,,Hoeryong City MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A2725,22/03/2024,Detainees,Women,20-29,Named,Female,Released from all facilities,01/04/2004~30/04/2004,"Arbitrary Deprivation of Liberty_A2725|Forced Labour_A2725|Sexual and Gender-based Violence_1_A2725|Sexual and Gender-based Violence_2_A2725|Torture & CID_1_A2725|Torture & CID_2_A2725|Violation of Freedom of Expression_A2725|Violation of Right to Health_1_A2725|Violation of Right to Health_2_A2725|Violation of the Right to a Fair Trial_A2725",,,,,"Hoeryong City MSS Detention Centre|Hoeryong City MPS Provisional Holding Centre","North Hamgyong|North Hamgyong","Ministry of State Security|Ministry of People's Security","Detention Centre|Holding Centre",,,Published
A2575,21/03/2024,Detainees,Women,30-39,Unnamed,Female,Unknown,01/10/2004~01/12/2004,"Torture & CID_A2575|Violation of Freedom of Expression_A2575|Violation of Right to Health_A2575",,,,,Sinuiju City MSS Detention Centre,North Pyongan,Ministry of State Security,Detention Centre,,,Published
A2574,21/03/2024,Detainees,"Children|Women",0-9,Partially named,Female,Unknown,01/10/2004~31/12/2004,"Torture & CID_A2574|Violation of Freedom of Expression_A2574|Violation of Right to Health_A2574|Violation of the Rights of Children_A2574",,,,,Sinuiju City MSS Detention Centre,North Pyongan,Ministry of State Security,Detention Centre,,,Published
A2573,21/03/2024,Detainees,"Women|Detainees with Disabilities ",20-29,Named,Female,Released from all facilities,01/01/2004~30/04/2004,"Arbitrary Deprivation of Liberty_1_A2573|Sexual and Gender-based Violence_1_A2573|Sexual and Gender-based Violence_2_A2573|Torture & CID_1_A2573|Violation of Freedom of Expression_1_A2573|Violation of Freedom of Expression_2_A2573|Violation of the Rights of Detainees with Disability_1_A2573",01/10/2004~01/07/2006,"Arbitrary Deprivation of Liberty_2_A2573|Violation of the Right to Freedom of Conscience, Thought and Religion_A2573|Forced Labour_A2573|Sexual and Gender-based Violence_3_A2573|Sexual and Gender-based Violence_4_A2573|Torture & CID_3_A2573|Violation of Freedom of Expression_3_A2573|Violation of Freedom of Expression_4_A2573|Violation of Freedom of Expression_5_A2573|Violation of Right to Health_2_A2573|Violation of Right to Health_1_A2573|Violation of the Rights of Detainees with DIsability_2_A2573",,,"Hyesan City Hospital|Sinuiju City MSS Detention Centre|North Pyongan Provincial MPS Holding Centre |Hoeryong City MSS Detention Centre|Rawon County Samho-gu MSS Office","Ryanggang|North Pyongan|North Pyongan|North Hamgyong|North Hamgyong","Other North Korean government organisation|Ministry of State Security|Ministry of People's Security|Ministry of State Security|Ministry of State Security","Temporary Detention Facility::Other|Detention Centre|Holding Centre|Detention Centre|Temporary Detention Facility::Office",,,Published
A2580,20/03/2024,Detainees,Women,50-59,Unnamed,Female,Unknown,01/06/2015~31/10/2015,"Torture & CID_A2580|Violation of Freedom of Expression_A2580|Violation of Right to Health_A2580",,,,,Ryanggang Provincial MPS Detention Centre,Ryanggang,Ministry of People's Security,Detention Centre,,,Published
A2579,20/03/2024,Detainees,Women,40-49,Named,Female,Released from all facilities,01/05/2015~31/10/2015,"Arbitrary Deprivation of Liberty_A2579|Sexual and Gender-based Violence_A2579|Violation of the Right to a Fair Trial_A2579|Torture & CID_1_A2579|Torture & CID_2_A2579|Torture & CID_3_A2579|Violation of Freedom of Expression_2_A2579|Violation of Freedom of Expression_1_A2579|Violation of Freedom of Expression_3_A2579|Violation of Freedom of Expression_4_A2579|Violation of Right to Health_1_A2579|Violation of Right to Health_2_A2579",,,,,"Hyesan City MSS  Detention Centre|Hyesan City Prosecutor's Office|Ryanggang Provincial MPS Detention Centre|Hyesan City MPS Detention Centre","Ryanggang|Ryanggang|Ryanggang|Ryanggang","Ministry of State Security|Other North Korean government organisation|Ministry of People's Security|Ministry of People's Security","Detention Centre|Temporary Detention Facility::Office|Detention Centre|Detention Centre",,,Published
A2601,20/03/2024,Detainees,Women,40-49,Unnamed,Female,Unknown,01/06/2012~30/06/2012,"Forced Labour_A2601|Torture & CID_A2601|Violation of Freedom of Expression_A2601|Violation of Right to Health_A2601",,,,,Hyesan City Labour Training Centre,Ryanggang,People's Committee of North Korea,Labour Training Centre,,,Published
A2600,20/03/2024,Detainees,Women,30-39,Unnamed,Female,Unknown,01/06/2012~30/06/2012,"Forced Labour_A2600|Torture & CID_A2600|Violation of Freedom of Expression_A2600|Violation of Right to Health_A2600",,,,,Hyesan City Labour Training Centre,Ryanggang,People's Committee of North Korea,Labour Training Centre,,,Published
A2599,20/03/2024,Detainees,Women,20-29,Named,Female,Released from all facilities,01/06/2012~30/06/2012,"Arbitrary Deprivation of Liberty_A2599|Violation of the Right to a Fair Trial_A2599|Forced Labour_A2599|Torture & CID_1_A2599|Torture & CID_2_A2599",,,,,"Ryanggang Provincial MSS Office|Hyesan City Labour Training Centre|Hyesan City Temporary Anti-Socialist Task Force Office","Ryanggang|Ryanggang|Ryanggang","Ministry of State Security|People's Committee of North Korea|Unknown","Temporary Detention Facility::Office|Labour Training Centre|Temporary Detention Facility::Office",,,Published
A2705,19/03/2024,Detainees,N/A,40-49,Named,Male,Released from all facilities,31/07/1994~31/05/1996,"Arbitrary Deprivation of Liberty_A2705|Violation of the Right to a Fair Trial_A2705|Forced Labour_A2705|Sexual and Gender-based Violence_1_A2705|Sexual and Gender-based Violence_2_A2705|Torture & CID_1_A2705|Torture & CID_2_A2705|Violation of Right to Health_1_A2705|Violation of Right to Health_2_A2705",,,,,"Kyonghung (Undok) County MPS Detention Centre|Daehung Re-education Camp","North Hamgyong|South Hamgyong","Ministry of People's Security|Ministry of People's Security","Detention Centre|Re-education Camp ",,,Published
A2615,19/03/2024,Detainees,Women,50-59,Named,Female,Released from all facilities,01/05/2002~30/06/2002,"Arbitrary Deprivation of Liberty_1_A2615|Violation of the Right to a Fair Trial_1_A2615|Torture & CID_1_A2615|Torture & CID_2_A2615|Violation of Right to Health_1_A2615|Violation of Right to Health_2_A2615|Violation of Freedom of Expression_1_A2615|Violation of Freedom of Expression_2_A2615|Sexual and Gender-based Violence_1_A2615|Sexual and Gender-based Violence_2_A2615|Forced Labour_1_A2615",01/11/2002~30/11/2002,"Arbitrary Deprivation of Liberty_2_A2615|Violation of the Right to a Fair Trial_2_A2615|Torture & CID_3_A2615|Torture & CID_4_A2615|Torture & CID_5_A2615|Violation of Right to Health_3_A2615|Violation of Right to Health_4_A2615|Violation of Right to Health_5_A2615|Forced Labour_2_A2615|Forced Labour_3_A2615",,,"Hyesan City MSS  Detention Centre|Hyesan City MPS Detention Centre|Hyesan City Labour Training Centre|Onsong County MSS Detention Centre|Ryanggang Provincial MPS Holding Centre","Ryanggang|Ryanggang|Ryanggang|North Hamgyong|Ryanggang","Ministry of State Security|Ministry of People's Security|People's Committee of North Korea|Ministry of State Security|Ministry of People's Security","Detention Centre|Detention Centre|Labour Training Centre|Detention Centre|Holding Centre",,,Published
A2526,19/03/2024,Detainees,Children,10-19,Unnamed,Male,Unknown,01/05/2007~31/07/2007,"Arbitrary Deprivation of Liberty_A2526|Violation of the Rights of Children_A2526",,,,,North Hamgyong Provincial MSS Holding Centre,North Hamgyong,Ministry of State Security,Holding Centre,,,Published
A2525,19/03/2024,Detainees,Children,10-19,Unnamed,Male,Unknown,01/05/2007~31/07/2007,"Violation of the Rights of Children_A2525|Arbitrary Deprivation of Liberty_A2525",,,,,North Hamgyong Provincial MSS Holding Centre,North Hamgyong,Ministry of State Security,Holding Centre,,,Published
A2524,19/03/2024,Detainees,N/A,Unknown,Partially named,Male,Unknown,01/05/2007~31/07/2007,Violation of the Rights of Detainees with Disabilities_A2524,,,,,North Hamgyong Provincial MSS Holding Centre,North Hamgyong,Ministry of State Security,Holding Centre,,,Published
A2523,19/03/2024,Detainees,N/A,40-49,Unnamed,Male,Deceased,01/05/2007~31/07/2007,Violation of the Right to Life_A2523,,,,,North Hamgyong Provincial MSS Holding Centre,North Hamgyong,Ministry of State Security,Holding Centre,,,Published
A2522,19/03/2024,Detainees,N/A,40-49,Named,Male,Released from all facilities,01/05/2007~30/09/2007,"Arbitrary Deprivation of Liberty_A2522|Torture & CID_1_A2522|Torture & CID_2_A2522|Torture & CID_3_A2522|Torture & CID_4_A2522|Torture & CID_5_A2522|Sexual and Gender-based Violence_A2522|Violation of Right to Health_1_A2522|Violation of Right to Health_2_A2522|Violation of Right to Health_3_A2522|Violation of Right to Health_4_A2522|Violation of Right to Health_5_A2522|Forced Labour_A2522|Violation of Freedom of Expression_A2522",,,,,"North Hamgyong Provincial MSS Holding Centre|Onsong County MSS Detention Centre|Onsong County Labour Training Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)|Haeju City MPS Detention Centre","North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|South Hwanghae","Ministry of State Security|Ministry of State Security|People's Committee of North Korea|Ministry of People's Security|Ministry of People's Security","Holding Centre|Detention Centre|Labour Training Centre|Holding Centre|Detention Centre",,,Published
A2598,19/03/2024,Detainees,Women,20-29,Unnamed,Female,Unknown,01/06/2004~31/10/2004,Sexual and Gender-based Violence_A2598,,,,,North Hamgyong Provincial MPS Holding Centre (Nongpo),North Hamgyong,Ministry of People's Security,Holding Centre,,,Published
A2700,19/03/2024,Detainees,Women,30-39,Unnamed,Female,Unknown,01/05/2005~31/05/2005,"Arbitrary Deprivation of Liberty_A2700|Violation of Freedom of Expression_A2700",,,,,Chongjin Railroad Station MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A2699,19/03/2024,Detainees,N/A,30-39,Named,Male,Released from all facilities,01/05/2005~31/05/2005,"Arbitrary Deprivation of Liberty_A2699|Violation of the Right to a Fair Trial_A2699|Torture & CID_A2699|Violation of Freedom of Expression_A2699|Violation of Right to Health_A2699",,,,,Chongjin Railroad Station MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A2597,19/03/2024,Detainees,Women,30-39,Named,Female,Released from all facilities,01/05/2004~31/10/2004,"Arbitrary Deprivation of Liberty_A2597|Violation of the Right to a Fair Trial_A2597|Forced Labour_A2597|Sexual and Gender-based Violence_1_A2597|Sexual and Gender-based Violence_2_A2597|Torture & CID_1_A2597|Torture & CID_2_A2597|Torture & CID_3_A2597|Torture & CID_4_A2597|Violation of Freedom of Expression_1_A2597|Violation of Freedom of Expression_2_A2597|Violation of Freedom of Expression_3_A2597|Violation of Freedom of Expression_4_A2597|Violation of Right to Health_1_A2597|Violation of Right to Health_2_A2597|Violation of Right to Health_3_A2597|Violation of Right to Health_4_A2597",,,,,"Onsong County MSS Detention Centre|Onsong County Labour Training Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)|Musan County Changryul-gu MPS Sub-municipal Station Waiting Room","North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|People's Committee of North Korea|Ministry of People's Security|Ministry of People's Security","Detention Centre|Labour Training Centre|Holding Centre|Detention Centre",,,Published
A2566,19/03/2024,Detainees,"Women|Children",10-19,Named,Female,Released from all facilities,01/03/2011~30/04/2011,"Arbitrary Deprivation of Liberty_A2566|Violation of the Right to a Fair Trial_A2566|Torture & CID_1_A2566|Torture & CID_2_A2566|Sexual and Gender-based Violence_A2566|Violation of Right to Health_1_A2566|Violation of Right to Health_2_A2566|Forced Labour_A2566|Violation of the Rights of Children_1_A2566|Violation of the Rights of Children_2_A2566|Violation of Freedom of Expression_A2566",,,,,"Ryanggang Provincial MSS Holding Centre|Ryanggang Provincial MPS Holding Centre","Ryanggang|Ryanggang","Ministry of State Security|Ministry of People's Security","Holding Centre|Holding Centre",,,Published
A2714,19/03/2024,Detainees,Women,20-29,Unnamed,Female,Unknown,01/09/2010~30/09/2010,Sexual and Gender-based Violence_A2714,,,,,Sinuiju City MSS Detention Centre,North Pyongan,Ministry of State Security,Detention Centre,,,Published
A2712,19/03/2024,Detainees,Women,20-29,Unnamed,Female,Unknown,01/10/2010~30/11/2010,"Torture & CID_A2712|Sexual and Gender-based Violence_A2712|Violation of Right to Health_A2712",,,,,North Pyongan Provincial MPS Holding Centre ,North Pyongan,Ministry of People's Security,Holding Centre,,,Published
A2711,19/03/2024,Detainees,Women,40-49,Named,Female,Released from all facilities,01/09/2010~30/11/2010,"Arbitrary Deprivation of Liberty_A2711|Violation of the Right to a Fair Trial_A2711|Torture & CID_1_A2711|Torture & CID_2_A2711|Sexual and Gender-based Violence_1_A2711|Sexual and Gender-based Violence_2_A2711|Violation of Right to Health_1_A2711|Violation of Right to Health_2_A2711|Forced Labour_1_A2711|Forced Labour_2_A2711|Violation of Freedom of Expression_1_A2711|Violation of Freedom of Expression_2_A2711",,,,,"Sinuiju City MSS Detention Centre|North Pyongan Provincial MPS Holding Centre ","North Pyongan|North Pyongan","Ministry of State Security|Ministry of People's Security","Detention Centre|Holding Centre",,,Published
A2719,19/03/2024,Detainees,"Children|Women|Detainees with Disabilities ",10-19,Partially named,Female,Unknown,01/05/2000~31/05/2000,Violation of the Rights of Detainees with Disability_A2719,,,,,"Hyesan City MSS  Detention Centre|Hyesan City MPS Detention Centre|Hyesan City Labour Training Centre","Ryanggang|Ryanggang|Ryanggang","Ministry of State Security|Ministry of People's Security|People's Committee of North Korea","Detention Centre|Detention Centre|Labour Training Centre",,,Published
A2718,19/03/2024,Detainees,N/A,10-19,Named,Male,Unknown,01/05/2000~31/05/2000,"Torture & CID_A2718|Violation of the Right to Freedom of Conscience, Thought and Religion_A2718",,,,,"Hyesan City MSS  Detention Centre|Hyesan City MPS Detention Centre|Hyesan City Labour Training Centre","Ryanggang|Ryanggang|Ryanggang","Ministry of State Security|Ministry of People's Security|People's Committee of North Korea","Detention Centre|Detention Centre|Labour Training Centre",,,Published
A2717,19/03/2024,Detainees,N/A,10-19,Named,Male,Unknown,01/05/2000~31/05/2000,"Arbitrary Deprivation of Liberty_A2717|Forced Labour_A2717|Sexual and Gender-based Violence_1_A2717|Sexual and Gender-based Violence_2_A2717|Sexual and Gender-based Violence_3_A2717|Torture & CID_1_A2717|Torture & CID_2_A2717|Torture & CID_3_A2717|Violation of Freedom of Expression_1_A2717|Violation of Freedom of Expression_2_A2717|Violation of Freedom of Expression_3_A2717|Violation of Right to Health_1_A2717|Violation of Right to Health_2_A2717|Violation of Right to Health_3_A2717|Violation of the Right to a Fair Trial_A2717",,,,,"Hyesan City MSS  Detention Centre|Hyesan City MPS Detention Centre|Hyesan City Labour Training Centre","Ryanggang|Ryanggang|Ryanggang","Ministry of State Security|Ministry of People's Security|People's Committee of North Korea","Detention Centre|Detention Centre|Labour Training Centre",,,Published
A2716,19/03/2024,Detainees,Women,40-49,Named,Female,Released from all facilities,01/05/2000~31/05/2000,"Arbitrary Deprivation of Liberty_A2716|Forced Labour_A2716|Sexual and Gender-based Violence_1_A2716|Sexual and Gender-based Violence_2_A2716|Sexual and Gender-based Violence_3_A2716|Torture & CID_1_A2716|Torture & CID_2_A2716|Torture & CID_3_A2716|Violation of Freedom of Expression_2_A2716|Violation of Freedom of Expression_1_A2716|Violation of Freedom of Expression_3_A2716|Violation of Right to Health_1_A2716|Violation of Right to Health_2_A2716|Violation of the Right to a Fair Trial_A2716|Violation of Right to Health_3_A2716",,,,,"Hyesan City MSS  Detention Centre|Hyesan City MPS Detention Centre|Hyesan City Labour Training Centre","Ryanggang|Ryanggang|Ryanggang","Ministry of State Security|Ministry of People's Security|People's Committee of North Korea","Detention Centre|Detention Centre|Labour Training Centre",,,Published
